run_id,species,ratio,r_ng_bt_production,r_ng_dm,lag_mode,lag_h,initial_condition,initial_ng,initial_bt,extinction_mode,hard_extinction,cycle,cycle_start_ng,cycle_start_bt,cycle_end_ng,cycle_end_bt,next_start_ng,next_start_bt,cycle_map_residual_log10,converged_last_n,final_ng_above_threshold,final_bt_above_threshold,final_survival_class
39,Col,0.013257113655901088,3.180178653084672,0.04215998985001393,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,5.746912553891038e-10,0.0019130364851977853,5.6495515607890194e-08,0.3826072970782205,2.8247757803945096e-10,0.0019130364853911024,0.30767091907372723,False,False,True,bt_only
40,Col,0.014563484775012436,3.180178653084672,0.04631448339601817,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
41,Col,0.014563484775012436,3.180178653084672,0.04631448339601817,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,1.2328991346057954e-08,0.001913036465635457,1.5207975719246454e-06,0.38260729465571924,7.603987859623227e-09,0.0019130364732785961,0.20986424668665205,False,False,True,bt_only
42,Col,0.014563484775012436,3.180178653084672,0.04631448339601817,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
43,Col,0.014563484775012436,3.180178653084672,0.04631448339601817,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,2.0634181961838624e-08,0.0019130364522000707,2.545185710776762e-06,0.3826072929986694,1.272592855388381e-08,0.0019130364649933471,0.20988469677076882,False,False,True,bt_only
44,Col,0.014563484775012436,3.180178653084672,0.04631448339601817,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
45,Col,0.014563484775012436,3.180178653084672,0.04631448339601817,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,2.8198706796600754e-10,0.0019130364853735405,2.786664651028247e-08,0.38260729709539193,1.3933323255141235e-10,0.0019130364854769598,0.30460606022637116,False,False,True,bt_only
46,Col,0.014563484775012436,3.180178653084672,0.04631448339601817,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
47,Col,0.014563484775012436,3.180178653084672,0.04631448339601817,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,6.256365845138609e-10,0.0019130364851244002,6.182687127382858e-08,0.3826072970707719,3.091343563691429e-10,0.0019130364853538594,0.30546586681239596,False,False,True,bt_only
48,Col,0.015998587196060583,3.180178653084672,0.05087836548042562,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
49,Col,0.015998587196060583,3.180178653084672,0.05087836548042562,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,1.5850816304216643e-08,0.001913036457609317,1.9856387368666706e-06,0.3826072936120594,9.928193684333353e-09,0.001913036468060297,0.20316504858541595,False,False,True,bt_only
50,Col,0.015998587196060583,3.180178653084672,0.05087836548042562,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
51,Col,0.015998587196060583,3.180178653084672,0.05087836548042562,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,2.6195858526565922e-08,0.0019130364393530337,3.281455455788263e-06,0.38260729132547106,1.6407277278941315e-08,0.0019130364566273552,0.20318622829574373,False,False,True,bt_only
52,Col,0.015998587196060583,3.180178653084672,0.05087836548042562,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
53,Col,0.015998587196060583,3.180178653084672,0.05087836548042562,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,3.1062681493555117e-10,0.0019130364853312298,3.0874113231441465e-08,0.38260729709107194,1.5437056615720731e-10,0.0019130364854553596,0.3022660726066828,False,False,True,bt_only
54,Col,0.015998587196060583,3.180178653084672,0.05087836548042562,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
55,Col,0.015998587196060583,3.180178653084672,0.05087836548042562,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,6.867751088949288e-10,0.0019130364850324629,6.826053273122156e-08,0.3826072970613742,3.413026636561078e-10,0.001913036485306871,0.3030361756733235,False,False,True,bt_only
56,Col,0.017575106248547922,3.180178653084672,0.05589197771732713,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
57,Col,0.017575106248547922,3.180178653084672,0.05589197771732713,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,2.08655599672986e-08,0.001913036445442253,2.658534120479181e-06,0.38260729200200516,1.3292670602395905e-08,0.0019130364600100259,0.1958059443758131,False,False,True,bt_only
58,Col,0.017575106248547922,3.180178653084672,0.05589197771732713,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779848,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
59,Col,0.017575106248547922,3.180178653084672,0.05589197771732713,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,3.4002689132852936e-08,0.0019130364201679205,4.3321794618710715e-06,0.3826072887824418,2.1660897309355356e-08,0.0019130364439122092,0.1958295444526268,False,False,True,bt_only
60,Col,0.017575106248547922,3.180178653084672,0.05589197771732713,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
61,Col,0.017575106248547922,3.180178653084672,0.05589197771732713,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,3.4543337861750536e-10,0.0019130364852774394,3.455144647100591e-08,0.3826072970855324,1.7275723235502955e-10,0.0019130364854276622,0.29967683891364594,False,False,True,bt_only
62,Col,0.017575106248547922,3.180178653084672,0.05589197771732713,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
63,Col,0.017575106248547922,3.180178653084672,0.05589197771732713,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,7.607820295573314e-10,0.001913036484916056,7.609597916231525e-08,0.38260729704938756,3.804798958115763e-10,0.0019130364852469378,0.30035906808686086,False,False,True,bt_only
64,Col,0.019306977288832496,3.180178653084672,0.06139963702953567,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
65,Col,0.019306977288832496,3.180178653084672,0.06139963702953567,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,2.8178830553949736e-08,0.0019130364265314808,3.6578122683816527e-06,0.38260728945134054,1.8289061341908263e-08,0.0019130364472567027,0.18772321532490555,False,False,True,bt_only
66,Col,0.019306977288832496,3.180178653084672,0.06139963702953567,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779848,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
67,Col,0.019306977288832496,3.180178653084672,0.06139963702953567,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,4.520735074361377e-08,0.001913036390841021,5.867895730763495e-06,0.3826072848198105,2.9339478653817475e-08,0.0019130364240990524,0.18775146917970886,False,False,True,bt_only
68,Col,0.019306977288832496,3.180178653084672,0.06139963702953567,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
69,Col,0.019306977288832496,3.180178653084672,0.06139963702953567,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,3.8815501722130327e-10,0.0019130364852081652,3.909526376594739e-08,0.3826072970783471,1.9547631882973695e-10,0.0019130364853917356,0.2968124213893102,False,False,True,bt_only
70,Col,0.019306977288832496,3.180178653084672,0.06139963702953567,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
71,Col,0.019306977288832496,3.180178653084672,0.06139963702953567,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,8.512171703122643e-10,0.0019130364847669877,8.573512635697751e-08,0.3826072970339098,4.2867563178488757e-10,0.001913036485169549,0.2974095558185148,False,False,True,bt_only
