run_id,community,ratio_index,ratio,lag_mode,initial_condition,initial_ng_per_species,initial_total_ng,initial_bt,extinction_mode,hard_extinction,cycle,cycle_start_total_ng,cycle_start_bt,cycle_end_total_ng,cycle_end_bt,next_start_total_ng,next_start_bt,cycle_map_residual_log10,cycle_start_Col,cycle_end_Col,next_start_Col,cycle_start_Cs,cycle_end_Cs,next_start_Cs,cycle_start_Et,cycle_end_Et,next_start_Et,cycle_start_Eu.c,cycle_end_Eu.c,next_start_Eu.c,cycle_start_Eu.l,cycle_end_Eu.l,next_start_Eu.l,cycle_start_Im,cycle_end_Im,next_start_Im,cycle_start_Ld,cycle_end_Ld,next_start_Ld,cycle_start_Lsp,cycle_end_Lsp,next_start_Lsp,cycle_start_Mi,cycle_end_Mi,next_start_Mi,cycle_start_Va,cycle_end_Va,next_start_Va,cycle_start_Bt,cycle_end_Bt,next_start_Bt,converged_last_n,n_ng_above_threshold,final_bt_above_threshold,surviving_ng_species,final_survival_class
733,Bt_plus_all_10_NG,91,47.1486636345739,on,ng_low_bt_high,0.0001,0.001,1.0,no_extinction_control,False,60,0.0019345359156394256,1.0752353396754894e-135,0.3869071658178853,1.1091018375099102e-135,0.0019345358290894265,5.545509187549551e-138,2.5950641520111617e-06,3.116910639971453e-121,6.577885458326959e-121,3.2889427291634794e-123,2.3378402821272583e-113,6.698970124343024e-113,3.349485062171512e-115,2.5406940100286407e-127,4.2345292462025745e-127,2.1172646231012872e-129,1.4078800673151716e-106,5.245537518567198e-106,2.6227687592835992e-108,1.731509242168795e-104,6.996035045540574e-104,3.498017522770287e-106,0.001918531977193268,0.38370639725444383,0.001918531986272219,5.086714400023066e-105,2.0135375386049888e-104,1.0067687693024944e-106,7.48773558609415e-111,2.36359119178262e-110,1.18179559589131e-112,1.1135307714672981e-98,5.6529090501963515e-98,2.826454525098176e-100,1.6003938446157727e-05,0.0032007685634414715,1.6003842817207358e-05,1.0752353396754894e-135,1.1091018375099102e-135,5.545509187549551e-138,True,2,False,Im|Va,ng_only
734,Bt_plus_all_10_NG,91,47.1486636345739,on,ng_high_bt_low,0.1,1.0,0.001,hard_extinction,True,60,0.0019345360799992782,0.0,0.3869071934721685,0.0,0.0019345359673608423,0.0,3.377250256342279e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001918531959952153,0.3837063943535555,0.0019185319717677776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.600412004712536e-05,0.003200799118612958,1.600399559306479e-05,0.0,0.0,0.0,True,2,False,Im|Va,ng_only
735,Bt_plus_all_10_NG,91,47.1486636345739,on,ng_high_bt_low,0.1,1.0,0.001,no_extinction_control,False,60,0.0019345360799978627,1.0532556386802832e-138,0.386907193471931,1.0864298457438364e-138,0.0019345359673596549,5.432149228719182e-141,3.3772435230616793e-06,1.1514955983313022e-118,2.4301005150601147e-118,1.2150502575300573e-120,5.290683829237834e-111,1.5160202850623892e-110,7.580101425311946e-113,1.2221527751533151e-124,2.036940162525125e-124,1.0184700812625625e-126,2.239090053972964e-104,8.342493908564001e-104,4.1712469542820007e-106,2.462519530408322e-102,9.949628055976212e-102,4.974814027988106e-104,0.0019185319599523006,0.38370639435358106,0.0019185319717679053,7.35031126320106e-103,2.909565288119823e-102,1.4547826440599114e-104,1.5013589440661143e-108,4.739214860216221e-108,2.3696074301081105e-110,1.235259872436221e-96,6.270873752013315e-96,3.1354368760066577e-98,1.600412004556208e-05,0.003200799118349933,1.6003995591749666e-05,1.0532556386802832e-138,1.0864298457438364e-138,5.432149228719182e-141,True,2,False,Im|Va,ng_only
736,Bt_plus_all_10_NG,92,51.794746792312075,off,ng_low_bt_high,0.0001,0.001,1.0,hard_extinction,True,40,0.0019448834481583157,0.0,0.3889766824169366,0.0,0.0019448834120846833,0.0,6.49308004696536e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001917236026406803,0.383447206333688,0.0019172360316684401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7647421751512662e-05,0.005529476083248622,2.7647380416243108e-05,0.0,0.0,0.0,True,2,False,Im|Va,ng_only
737,Bt_plus_all_10_NG,92,51.794746792312075,off,ng_low_bt_high,0.0001,0.001,1.0,no_extinction_control,False,80,0.001944883313330949,1.7914990377544232e-181,0.3889766626661605,1.8464983996050116e-181,0.0019448833133308026,9.232491998025057e-184,3.170972151522733e-06,5.209308347573705e-94,7.6564259597282265e-93,3.828212979864113e-95,1.790065695743418e-23,2.0884777538216325e-21,1.0442388769108162e-23,2.4075898674205776e-17,3.35486326693359e-15,1.677431633466795e-17,2.8348747101355773e-98,3.689643915083637e-97,1.8448219575418186e-99,7.25882468996368e-92,1.1378244924875672e-90,5.689122462437836e-93,0.0019172360460724548,0.38344720921449577,0.0019172360460724788,1.5383045520536995e-68,4.76733583725186e-67,2.3836679186259296e-69,3.282612016043936e-42,2.199627010955923e-40,1.0998135054779615e-42,1.2769348730381788e-97,1.6946917727512317e-96,8.473458863756159e-99,2.7647267258470164e-05,0.005529453451661403,2.7647267258307016e-05,1.7914990377544232e-181,1.8464983996050116e-181,9.232491998025057e-184,True,2,False,Im|Va,ng_only
738,Bt_plus_all_10_NG,92,51.794746792312075,off,ng_high_bt_low,0.1,1.0,0.001,hard_extinction,True,40,0.0019448835373706182,0.0,0.38897669548556213,0.0,0.0019448834774278107,0.0,1.0789386521992128e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019172360133944205,0.3834472044275205,0.0019172360221376026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7647523976197715e-05,0.005529491058041612,2.7647455290208063e-05,0.0,0.0,0.0,True,2,False,Im|Va,ng_only
739,Bt_plus_all_10_NG,92,51.794746792312075,off,ng_high_bt_low,0.1,1.0,0.001,no_extinction_control,False,80,0.0019448833133313033,1.757102277164564e-184,0.3889766626662124,1.8110456519103273e-184,0.0019448833133310622,9.055228259551636e-187,4.532957079916855e-06,2.090122836281954e-92,3.071976100278919e-91,1.5359880501394594e-93,4.667806737654645e-23,5.44595125972843e-21,2.722975629864215e-23,3.441719684917191e-17,4.795874539204603e-15,2.3979372696023013e-17,1.4311080609637858e-96,1.862614643985326e-95,9.313073219926631e-98,2.93290085901729e-90,4.5973371364674685e-89,2.2986685682337342e-91,0.0019172360460723973,0.3834472092144874,0.001917236046072437,2.3751869114077657e-67,7.360905009225105e-66,3.6804525046125526e-68,1.9331711168795675e-41,1.2953877536257802e-39,6.4769387681289e-42,5.790596053958523e-96,7.685024271142536e-95,3.842512135571268e-97,2.764726725887155e-05,0.005529453451720226,2.764726725860113e-05,1.757102277164564e-184,1.8110456519103273e-184,9.055228259551636e-187,True,2,False,Im|Va,ng_only
740,Bt_plus_all_10_NG,92,51.794746792312075,on,ng_low_bt_high,0.0001,0.001,1.0,hard_extinction,True,40,0.0019448834397703255,0.0,0.38897668118818757,0.0,0.0019448834059409379,0.0,6.08912912980486e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001917236027630261,0.3834472065129119,0.0019172360325645597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76474121400644e-05,0.005529474675275625,2.7647373376378123e-05,0.0,0.0,0.0,True,2,False,Im|Va,ng_only
741,Bt_plus_all_10_NG,92,51.794746792312075,on,ng_low_bt_high,0.0001,0.001,1.0,no_extinction_control,False,40,0.0019448834397701067,5.876416165495745e-90,0.3889766811881558,6.0568232615887225e-90,0.001944883405940779,3.0284116307943613e-92,6.089118622654155e-07,1.0413440879389092e-81,2.1976382785330126e-81,1.0988191392665063e-83,1.7081662432405524e-76,4.894669117630015e-76,2.4473345588150074e-78,9.596125241726779e-86,1.5993690238147488e-85,7.996845119073744e-88,5.34579723617026e-72,1.9917591379001284e-71,9.958795689500642e-74,1.2965237599711335e-70,5.238508372483667e-70,2.6192541862418336e-72,0.0019172360276302918,0.3834472065129167,0.0019172360325645835,5.744744865690011e-71,2.2740139356037864e-70,1.1370069678018932e-72,7.868950803924833e-75,2.483926227746158e-74,1.241963113873079e-76,6.237531716346573e-67,3.1364991978465345e-66,1.5682495989232673e-68,2.7647412139814896e-05,0.005529474675239094,2.7647373376195472e-05,5.876416165495745e-90,6.0568232615887225e-90,3.0284116307943613e-92,True,2,False,Im|Va,ng_only
742,Bt_plus_all_10_NG,92,51.794746792312075,on,ng_high_bt_low,0.1,1.0,0.001,hard_extinction,True,40,0.0019448835276370264,0.0,0.3889766940596988,0.0,0.0019448834702984943,0.0,1.0320634125093875e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019172360148141513,0.38344720463549503,0.0019172360231774752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.764751282287511e-05,0.005529489424203799,2.7647447121018996e-05,0.0,0.0,0.0,True,2,False,Im|Va,ng_only
