species,ratio,lag_mode,extinction_mode,max_endpoint_log10_difference,both_initial_conditions_converged,survival_class_differs,relative_composition_l1
All NG,0.0719685673001152,on,hard_extinction,10.858139728414075,True,False,0.3271853724812678
All NG,0.0719685673001152,on,no_extinction_control,0.000109004808461,True,False,1.1957762556573115e-05
All NG,0.0790604321090769,off,hard_extinction,0.0012071914183477,False,False,2.258856462624293e-05
All NG,0.0790604321090769,off,no_extinction_control,0.0012071914183477,False,False,2.258856462624293e-05
All NG,0.0790604321090769,on,hard_extinction,10.84460993304895,True,False,0.1999884102710608
All NG,0.0790604321090769,on,no_extinction_control,5.267768913889385,False,False,3.270043370910702e-05
All NG,0.0868511373751352,off,hard_extinction,0.0008741628100255,False,False,1.8226367773397333e-05
All NG,0.0868511373751352,off,no_extinction_control,0.0008741628100255,False,False,1.8226367773397333e-05
All NG,0.0868511373751352,on,hard_extinction,11.544652721127225,True,False,0.9392542527218956
All NG,0.0868511373751352,on,no_extinction_control,0.0014614379113595,False,False,0.0001746814061995
All NG,0.0954095476349993,off,hard_extinction,0.0004951065157845,False,False,1.106857780269841e-05
All NG,0.0954095476349993,off,no_extinction_control,0.0004951065157845,False,False,1.106857780269841e-05
All NG,0.0954095476349993,on,hard_extinction,11.54258903529356,True,False,0.8524920365384651
All NG,0.0954095476349993,on,no_extinction_control,0.0578869785409206,False,False,0.007005820135349
All NG,0.1048113134154685,off,hard_extinction,0.0003214795366606,False,False,7.1463979290295465e-06
All NG,0.1048113134154685,off,no_extinction_control,0.0003214795366606,False,False,7.1463979290295465e-06
All NG,0.1048113134154685,on,hard_extinction,11.53949489189911,True,False,0.8485708244584296
All NG,0.1048113134154685,on,no_extinction_control,4.164597243835695,False,False,0.0561301223517158
All NG,0.1151395399326447,off,hard_extinction,10.07392499418093,False,False,0.0296092866184013
All NG,0.1151395399326447,off,no_extinction_control,0.0052326435253662,False,False,9.2002178783631e-05
All NG,0.1151395399326447,on,hard_extinction,11.54375554256269,True,False,0.8209346922387784
All NG,0.1151395399326447,on,no_extinction_control,2.7953942733915937e-06,True,False,2.4095738202946452e-14
All NG,0.1264855216855295,off,hard_extinction,11.318698727640346,False,False,0.9529388921235686
All NG,0.1264855216855295,off,no_extinction_control,0.8469456877333568,False,False,0.0158456000870885
All NG,0.1264855216855295,on,hard_extinction,10.347327419247303,True,False,0.0890645565480545
All NG,0.1264855216855295,on,no_extinction_control,0.0018131658274374,True,False,4.314784267430595e-07
All NG,0.1389495494373137,off,hard_extinction,8.472844758294382,False,True,0.0015473201559196
