Sample ID,Experiment ID,growth_qc,,Growth Well ID,16S Well ID,Media,Protocol,Initial OD,Final OD,Growth curve time,Growth curve OD,Notes,Data location,,Ai,Ac,Bfi,Bf,Bt,Bu,Bx,Ba,Csp,Dl,Ls,Mf,Pm,Bd,Bv,Rg,Bb,Bbi,Bc,Bl,Bt47,Bt61,Pg,Pj,Af,Ao,As,Bl.s,Col,Cs,Et,Eu.c,Eu.l,Im,Ld,Lsp,Mi,Pc,Va,Vp
2024930_WZY_DM_assembly_Plate1B6,2024930_WZY_DM_assembly_Plate1,,,B6,Plate1_B6,Fructose,cycle 5,,0.7905,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0608292514966,0.000344947022486,0,0.0000107795944527,0.000204812294601,0.0102082759467,0.000474302155919,0.0000646775667162,0.00562694830431,0.0124719907818,0.0161154937068,0,0,0.0705416660985,0,0,0,0.171568025309,0.000140134727885,0,0,0,0,0,0,0,0.000150914322338,0,0.17459709135,0.0041717030532,0.0000538979722635,0.0014121268733,0,0.000366506211392,0,0,0.168150893868,0,0.00376207846399,0.0892334828795
2024930_WZY_DM_assembly_Plate1B7,2024930_WZY_DM_assembly_Plate1,,,B7,Plate1_B7,Oligo_xylose,cycle 5,,0.9945,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0,0.00259044441669,0.0104150059767,0,0.00331789798576,0.159046190077,0.0440907833937,0.268128739898,0.000372598169524,0.0474441669194,0,0,0.0112134306257,0.0522524575833,0.00345984014558,0.000212913239728,0,0,0.0412874257373,0,0,0,0.000975852348754,0.00198719023746,0,0,0.000319369859592,0,0.082237738845,0.0322031275089,0.0466989705804,0.000053228309932,0,0.000248398779683,0.0000709710799094,0,0.0410035414176,0,0.0402938306185,0.104575886246
2024930_WZY_DM_assembly_Plate1B8,2024930_WZY_DM_assembly_Plate1,,,B8,Plate1_B8,Oligo_xylose,cycle 5,,0.8925,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0,0.0021665125419,0.0151655877933,0,0.000412669055601,0.0335637498555,0.000894116287134,0.0425393018148,0.000997283551035,0.102720205757,0.000240723615767,0.0605591839094,0.0159909259045,0.0745211536239,0.0440524216854,0.0003095017917,0,0,0.0537845335799,0,0,0,0.000447058143567,0.00202895619004,0,0,0.000894116287134,0,0.065064154433,0.00457374869957,0.00828777019998,0.0303999537626,0,0.00921627557508,0,0,0.0739021500405,0,0.0814677493931,0.168300196509
2024930_WZY_DM_assembly_Plate1B9,2024930_WZY_DM_assembly_Plate1,,,B9,Plate1_B9,Oligo_xylose,cycle 5,,0.8505,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0000833039492243,0.00106629055007,0.0114459626234,0,0.000233251057828,0.0153945698166,0.0258075634697,0.24694622708,0.00359873060649,0.0620447813822,0,0.0449008286319,0.00113293370945,0.00738072990127,0.000116625528914,0.000199929478138,0,0,0.00386530324401,0,0,0,0.000316555007052,0.00223254583921,0,0,0.0000499823695346,0,0.0153445874471,0.0264073519041,0.0443343617772,0.0163442348378,0,0.00851366361072,0,0,0.257842383639,0,0.0473333039492,0.00756399858956
2024930_WZY_DM_assembly_Plate1C10,2024930_WZY_DM_assembly_Plate1,,,C10,Plate1_C10,Xylan,cycle 5,,0.8855,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0,0.0000343549951503,0.00257662463628,0,0.0468602133851,0.169748031038,0.0227430067895,0.00185516973812,0.00312630455868,0.0148757129001,0,0.00120242483026,0.0102034335597,0.0479252182347,0,0.000171774975752,0,0,0.049368128031,0,0,0,0.00237049466537,0.00529066925315,0,0,0.000103064985451,0,0.0288925509214,0.0334617652764,0.047306828322,0.00250791464597,0,0.00810777885548,0,0,0.114711328807,0,0.0753061493695,0.196751057226
2024930_WZY_DM_assembly_Plate1C11,2024930_WZY_DM_assembly_Plate1,,,C11,Plate1_C11,Xylan,cycle 5,,0.9635,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0000924242787597,0.0000462121393798,0.00561477493465,0,0.0310314515936,0.130988309072,0.0315859972661,0.173965598695,0.0000231060696899,0.00291136478093,0,0.00794848797333,0.0109753831027,0.120983380896,0,0.00013863641814,0,0,0.0192011439123,0,0,0,0.000623863881628,0.00365075901101,0,0,0.000485227463488,0,0.0290905417396,0.0426075925082,0.0558704765102,0.00547613851651,0,0.00977386747884,0,0,0.0368541811554,0,0.064304191947,0.179256888654
2024930_WZY_DM_assembly_Plate1C12,2024930_WZY_DM_assembly_Plate1,,,C12,Plate1_C12,Xylan,cycle 5,,0.8945,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.000347677614592,0.000447014075904,0.00533933479552,0,0.0335757239235,0.0156951608873,0.00305459618535,0.138624031761,0.000298009383936,0.0309929759294,0,0.0057615147561,0.00134104222771,0.0896759904495,0.000918862267137,0,0,0.000223507037952,0.0245112718288,0,0,0,0.000620852883201,0.00201156334157,0,0,0.000546350537216,0,0.0158689996946,0.0453222604736,0.0468868097393,0.0104054943224,0,0.0070032205225,0,0,0.344026999639,0,0.0542625419917,0.0167381937311
2024930_WZY_DM_assembly_Plate1C1,2024930_WZY_DM_assembly_Plate1,,,C1,Plate1_C1,Xylose,cycle 5,,0.8155,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0164066923622,0.000295997027153,0.009288668614,0.000112760772249,0.103429818345,0.00532794648876,0.00166322139067,0.0914489862938,0.00215654976926,0.000310092123684,0,0.120428504762,0.0000281901930622,0.0486562732254,0,0,0,0,0.00215654976926,0,0,0,0,0,0,0,0.000451043088995,0,0.0197049449505,0.00331234768481,0.00160684100455,0.0203956046805,0,0.0185491470349,0,0,0.0950996162953,0,0.0926611645955,0.162009039528
2024930_WZY_DM_assembly_Plate1C2,2024930_WZY_DM_assembly_Plate1,,,C2,Plate1_C2,Xylose,cycle 5,,0.9295,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.204209305805,0.000492070616397,0.080592609216,0.00010697187313,0.182215888689,0.00750942549372,0.0123873429084,0.0302088569719,0.00175433871933,0.0348514362657,0,0.0931297127469,0.000235338120886,0.0419971573908,0,0.000128366247756,0,0,0.00883587672053,0,0,0,0,0,0,0,0.000192549371634,0,0.0722060143627,0.0072526929982,0.00273847995212,0.000256732495512,0,0.00273847995212,0,0,0,0,0.00969165170557,0.135768701376
2024930_WZY_DM_assembly_Plate1C3,2024930_WZY_DM_assembly_Plate1,,,C3,Plate1_C3,Xylose,cycle 5,,0.8765,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.101224266719,0.00123402424716,0.00497037543997,0,0.0599530113414,0.000617012123582,0.0187503128666,0.219347809934,0.000239949159171,0.0490867422761,0,0.0488467931169,0.000239949159171,0.0182018576457,0,0.000651290574892,0,0,0.00113118889323,0,0,0,0,0,0,0,0,0,0.0664659170903,0.000856961282753,0.00455903402425,0.0324616933907,0,0.0219039303872,0,0,0,0,0.0684540672663,0.157303813062
