run_id,species,ratio,r_ng_bt_production,r_ng_dm,lag_mode,lag_h,initial_condition,initial_ng,initial_bt,extinction_mode,hard_extinction,cycle,cycle_start_ng,cycle_start_bt,cycle_end_ng,cycle_end_bt,next_start_ng,next_start_bt,cycle_map_residual_log10,converged_last_n,final_ng_above_threshold,final_bt_above_threshold,final_survival_class
32,Col,0.013257113655901088,3.173462471200276,0.04207095266343879,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
33,Col,0.013257113655901088,3.173462471200276,0.04207095266343879,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,2.216216043402529e-17,0.0019130364893907858,2.69484763657144e-15,0.3826072978781581,1.34742381828572e-17,0.0019130364893907906,3.773049463973166e-06,True,False,True,bt_only
34,Col,0.013257113655901088,3.173462471200276,0.04207095266343879,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
35,Col,0.013257113655901088,3.173462471200276,0.04207095266343879,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,3.752063079419659e-17,0.0019130364893907858,4.56238837903046e-15,0.3826072978781581,2.28119418951523e-17,0.0019130364893907906,6.387709731825453e-06,True,False,True,bt_only
36,Col,0.013257113655901088,3.173462471200276,0.04207095266343879,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
37,Col,0.013257113655901088,3.173462471200276,0.04207095266343879,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,1.1803038186813797e-22,0.0019130364893907858,1.1601791777766647e-20,0.3826072978781581,5.800895888883323e-23,0.0019130364893907906,2.6068036618198676e-11,True,False,True,bt_only
38,Col,0.013257113655901088,3.173462471200276,0.04207095266343879,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
39,Col,0.013257113655901088,3.173462471200276,0.04207095266343879,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,2.627388969053263e-22,0.0019130364893907858,2.5825909613858154e-20,0.3826072978781581,1.2912954806929076e-22,0.0019130364893907906,5.802647251584858e-11,True,False,True,bt_only
40,Col,0.014563484775012436,3.173462471200276,0.046216672383398556,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
41,Col,0.014563484775012436,3.173462471200276,0.046216672383398556,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,4.8853516996154943e-17,0.0019130364893907858,6.024391368232812e-15,0.3826072978781581,3.0121956841164057e-17,0.0019130364893907906,8.134691993788579e-06,True,False,True,bt_only
42,Col,0.014563484775012436,3.173462471200276,0.046216672383398556,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907873,0.0,0.38260729787815795,0.0,0.0019130364893907897,8.881784197001252e-16,True,False,True,bt_only
43,Col,0.014563484775012436,3.173462471200276,0.046216672383398556,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,8.177667690831416e-17,0.0019130364893907858,1.0084324257103832e-14,0.3826072978781581,5.042162128551916e-17,0.0019130364893907906,1.3616427603224679e-05,True,False,True,bt_only
44,Col,0.014563484775012436,3.173462471200276,0.046216672383398556,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
45,Col,0.014563484775012436,3.173462471200276,0.046216672383398556,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,1.588594139981396e-22,0.0019130364893907858,1.5696947662213326e-20,0.3826072978781581,7.848473831106663e-23,0.0019130364893907906,3.490718825105432e-11,True,False,True,bt_only
46,Col,0.014563484775012436,3.173462471200276,0.046216672383398556,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
47,Col,0.014563484775012436,3.173462471200276,0.046216672383398556,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,3.525125198672361e-22,0.0019130364893907858,3.483187074261626e-20,0.3826072978781581,1.741593537130813e-22,0.0019130364893907906,7.745626362520852e-11,True,False,True,bt_only
48,Col,0.015998587196060583,3.173462471200276,0.05077091605892351,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
49,Col,0.015998587196060583,3.173462471200276,0.05077091605892351,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,80,9.983504029143701e-21,0.001913036489390787,1.25024807023486e-18,0.3826072978781586,6.2512403511743e-21,0.001913036489390793,1.6209025233138163e-09,True,False,True,bt_only
50,Col,0.015998587196060583,3.173462471200276,0.05077091605892351,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907873,0.0,0.38260729787815795,0.0,0.0019130364893907897,8.881784197001252e-16,True,False,True,bt_only
51,Col,0.015998587196060583,3.173462471200276,0.05077091605892351,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,80,1.6502187762059284e-20,0.001913036489390787,2.066591884366425e-18,0.3826072978781586,1.0332959421832125e-20,0.001913036489390793,2.6792612572990038e-09,True,False,True,bt_only
52,Col,0.015998587196060583,3.173462471200276,0.05077091605892351,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
53,Col,0.015998587196060583,3.173462471200276,0.05077091605892351,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,2.201538627284875e-22,0.0019130364893907858,2.1878792541601615e-20,0.3826072978781581,1.0939396270800808e-22,0.0019130364893907906,4.810374321095878e-11,True,False,True,bt_only
54,Col,0.015998587196060583,3.173462471200276,0.05077091605892351,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
55,Col,0.015998587196060583,3.173462471200276,0.05077091605892351,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,4.868257685479011e-22,0.0019130364893907858,4.8380527427316645e-20,0.3826072978781581,2.419026371365832e-22,0.0019130364893907906,1.06368247543287e-10,True,False,True,bt_only
56,Col,0.017575106248547922,3.173462471200276,0.0557739401071243,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
57,Col,0.017575106248547922,3.173462471200276,0.0557739401071243,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,80,3.628610295522658e-20,0.001913036489390787,4.621779189226204e-18,0.3826072978781586,2.3108895946131018e-20,0.001913036489390793,5.722787577155941e-09,True,False,True,bt_only
58,Col,0.017575106248547922,3.173462471200276,0.0557739401071243,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907878,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
59,Col,0.017575106248547922,3.173462471200276,0.0557739401071243,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,80,5.914287301009612e-20,0.001913036489390787,7.533057490532725e-18,0.3826072978781586,3.7665287452663624e-20,0.001913036489390793,9.327594696628694e-09,True,False,True,bt_only
60,Col,0.017575106248547922,3.173462471200276,0.0557739401071243,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
61,Col,0.017575106248547922,3.173462471200276,0.0557739401071243,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,3.150505797299913e-22,0.0019130364893907858,3.150779049441496e-20,0.3826072978781581,1.5753895247207482e-22,0.0019130364893907906,6.840572552846425e-11,True,False,True,bt_only
62,Col,0.017575106248547922,3.173462471200276,0.0557739401071243,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
63,Col,0.017575106248547922,3.173462471200276,0.0557739401071243,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,6.939868043126539e-22,0.0019130364893907858,6.940469957208625e-20,0.3826072978781581,3.4702349786043124e-22,0.0019130364893907906,1.5068479797264445e-10,True,False,True,bt_only
64,Col,0.019306977288832496,3.173462471200276,0.06126996785842598,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907873,0.0,0.38260729787815795,0.0,0.0019130364893907897,8.881784197001252e-16,True,False,True,bt_only
65,Col,0.019306977288832496,3.173462471200276,0.06126996785842598,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,80,1.495445333595078e-19,0.001913036489390787,1.940527988517476e-17,0.3826072978781586,9.70263994258738e-20,0.001913036489390793,2.2808333000057246e-08,True,False,True,bt_only
66,Col,0.019306977288832496,3.173462471200276,0.06126996785842598,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907878,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
67,Col,0.019306977288832496,3.173462471200276,0.06126996785842598,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,80,2.3995658816719245e-19,0.001913036489390787,3.113737860602261e-17,0.3826072978781586,1.5568689303011303e-19,0.001913036489390793,3.6597855412878744e-08,True,False,True,bt_only
68,Col,0.019306977288832496,3.173462471200276,0.06126996785842598,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
69,Col,0.019306977288832496,3.173462471200276,0.06126996785842598,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,4.670280996650814e-22,0.0019130364893907858,4.7031774763680415e-20,0.3826072978781581,2.3515887381840206e-22,0.0019130364893907906,1.006998928687608e-10,True,False,True,bt_only
70,Col,0.019306977288832496,3.173462471200276,0.06126996785842598,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
71,Col,0.019306977288832496,3.173462471200276,0.06126996785842598,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,1.0243700852370512e-21,0.0019130364893907858,1.0315855332488725e-19,0.3826072978781581,5.157927666244363e-22,0.0019130364893907906,2.2087220941102714e-10,True,False,True,bt_only
72,Col,0.021209508879201904,3.173462471200276,0.06730758046073627,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907873,0.0,0.38260729787815795,0.0,0.0019130364893907897,8.881784197001252e-16,True,False,True,bt_only
73,Col,0.021209508879201904,3.173462471200276,0.06730758046073627,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,80,7.0719917738983075e-19,0.001913036489390787,9.36629609365175e-17,0.3826072978781586,4.683148046825875e-19,0.001913036489390793,1.0374610326380207e-07,True,False,True,bt_only
74,Col,0.021209508879201904,3.173462471200276,0.06730758046073627,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907878,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
75,Col,0.021209508879201904,3.173462471200276,0.06730758046073627,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,80,1.1150751113858036e-18,0.001913036489390787,1.476829158434388e-16,0.3826072978781586,7.38414579217194e-19,0.001913036489390793,1.6358143994921193e-07,True,False,True,bt_only
76,Col,0.021209508879201904,3.173462471200276,0.06730758046073627,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
77,Col,0.021209508879201904,3.173462471200276,0.06730758046073627,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,7.196412682611699e-22,0.0019130364893907858,7.302503650628157e-20,0.3826072978781581,3.6512518253140784e-22,0.0019130364893907906,1.539639526981773e-10,True,False,True,bt_only
78,Col,0.021209508879201904,3.173462471200276,0.06730758046073627,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
79,Col,0.021209508879201904,3.173462471200276,0.06730758046073627,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,1.570980882166002e-21,0.0019130364893907858,1.5941405993577428e-19,0.3826072978781581,7.970702996788714e-22,0.0019130364893907906,3.361044775829214e-10,True,False,True,bt_only
80,Col,0.023299518105153717,3.173462471200276,0.07394014630375668,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907884,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
81,Col,0.023299518105153717,3.173462471200276,0.07394014630375668,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,80,3.8873099988320774e-18,0.001913036489390787,5.265344665168757e-16,0.3826072978781586,2.6326723325843782e-18,0.001913036489390793,5.448804394347917e-07,True,False,True,bt_only
82,Col,0.023299518105153717,3.173462471200276,0.07394014630375668,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907873,0.0,0.38260729787815795,0.0,0.0019130364893907897,8.881784197001252e-16,True,False,True,bt_only
83,Col,0.023299518105153717,3.173462471200276,0.07394014630375668,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,80,6.010327778573762e-18,0.001913036489390787,8.140963111852819e-16,0.3826072978781586,4.070481555926409e-18,0.001913036489390793,8.424602633283484e-07,True,False,True,bt_only
84,Col,0.023299518105153717,3.173462471200276,0.07394014630375668,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
85,Col,0.023299518105153717,3.173462471200276,0.07394014630375668,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,1.1570368637458417e-21,0.0019130364893907858,1.183957728664687e-19,0.3826072978781581,5.919788643323434e-22,0.0019130364893907906,2.454001446494658e-10,True,False,True,bt_only
86,Col,0.023299518105153717,3.173462471200276,0.07394014630375668,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
87,Col,0.023299518105153717,3.173462471200276,0.07394014630375668,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,2.512562528326195e-21,0.0019130364893907858,2.571022512225267e-19,0.3826072978781581,1.2855112561126335e-21,0.0019130364893907906,5.329017227495569e-10,True,False,True,bt_only
88,Col,0.025595479226995357,3.173462471200276,0.08122629275925601,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907854,0.0,0.3826072978781579,0.0,0.0019130364893907895,8.881784197001252e-16,True,False,True,bt_only
89,Col,0.025595479226995357,3.173462471200276,0.08122629275925601,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,80,2.5183507917522643e-17,0.001913036489390787,3.496280524503407e-15,0.3826072978781586,1.7481402622517035e-17,0.001913036489390793,3.344910473046525e-06,True,False,True,bt_only
90,Col,0.025595479226995357,3.173462471200276,0.08122629275925601,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,40,0.0,0.0019130364893907897,0.0,0.38260729787815817,0.0,0.0019130364893907908,0.0,True,False,True,bt_only
91,Col,0.025595479226995357,3.173462471200276,0.08122629275925601,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,80,3.808923504295253e-17,0.001913036489390787,5.288010356223699e-15,0.3826072978781586,2.6440051781118494e-17,0.001913036489390793,5.059012782027139e-06,True,False,True,bt_only
92,Col,0.025595479226995357,3.173462471200276,0.08122629275925601,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
93,Col,0.025595479226995357,3.173462471200276,0.08122629275925601,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,1.949145694595236e-21,0.0019130364893907858,2.0129111687839598e-19,0.3826072978781581,1.00645558439198e-21,0.0019130364893907906,4.094058425607727e-10,True,False,True,bt_only
94,Col,0.025595479226995357,3.173462471200276,0.08122629275925601,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
95,Col,0.025595479226995357,3.173462471200276,0.08122629275925601,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,4.207994744725558e-21,0.0019130364893907858,4.345657506942413e-19,0.3826072978781581,2.1728287534712062e-21,0.0019130364893907906,8.838618725803826e-10,True,False,True,bt_only
