species,ratio,lag_mode,extinction_mode,max_endpoint_log10_difference,both_initial_conditions_converged,survival_class_differs,relative_composition_l1
All NG,1.0985411419875584,off,hard_extinction,0.0284057051922217,False,False,0.0001022398303102
All NG,1.0985411419875584,off,no_extinction_control,0.0913647861974578,False,False,0.0001022398696417
All NG,1.0985411419875584,on,hard_extinction,0.0,True,False,0.0
All NG,1.0985411419875584,on,no_extinction_control,0.1036045000119489,False,False,2.1941787695750286e-09
All NG,1.2067926406393277,off,hard_extinction,0.0281739658666064,False,False,0.0001020060534313
All NG,1.2067926406393277,off,no_extinction_control,0.0852764575967448,False,False,0.0001020061470375
All NG,1.2067926406393277,on,hard_extinction,0.0,True,False,0.0
All NG,1.2067926406393277,on,no_extinction_control,0.0973876200831398,False,False,2.058634381055015e-09
All NG,1.325711365590108,off,hard_extinction,0.0283524991307775,False,False,0.0001031814257814
All NG,1.325711365590108,off,no_extinction_control,0.0793625571950027,False,False,0.000103181578955
All NG,1.325711365590108,on,hard_extinction,0.0,True,False,0.0
All NG,1.325711365590108,on,no_extinction_control,0.0914384588791268,False,False,1.9294296525091353e-09
All NG,1.456348477501243,off,hard_extinction,0.0290955333330606,False,False,0.0001063337725421
All NG,1.456348477501243,off,no_extinction_control,0.0732852314088265,False,False,0.0001063339960387
All NG,1.456348477501243,on,hard_extinction,0.0,True,False,0.0
All NG,1.456348477501243,on,no_extinction_control,0.0854414497269182,False,False,1.799249350795053e-09
All NG,1.5998587196060574,off,hard_extinction,0.0305819205626858,False,False,0.0001121166421451
All NG,1.5998587196060574,off,no_extinction_control,0.0666615420535698,False,False,0.0001121169529446
All NG,1.5998587196060574,on,hard_extinction,0.0,True,False,0.0
All NG,1.5998587196060574,on,no_extinction_control,0.0790352046675373,False,False,1.659967404350972e-09
All NG,1.7575106248547911,off,hard_extinction,0.0329829597168815,False,False,0.0001211463191465
All NG,1.7575106248547911,off,no_extinction_control,0.0590765256654766,False,False,0.0001211467406035
All NG,1.7575106248547911,on,hard_extinction,0.0,True,False,0.0
All NG,1.7575106248547911,on,no_extinction_control,0.0718171112576211,False,False,1.5028469280653683e-09
All NG,1.9306977288832496,off,hard_extinction,0.0363909515843809,False,False,0.0001337380866064
All NG,1.9306977288832496,off,no_extinction_control,0.0669881919800108,False,False,0.0001337385835867
All NG,1.9306977288832496,on,hard_extinction,0.0,True,False,0.0
All NG,1.9306977288832496,on,no_extinction_control,0.0633846113413572,False,False,1.3196233578207576e-09
All NG,2.1209508879201904,off,hard_extinction,0.0407088223086131,False,False,0.0001495150191303
All NG,2.1209508879201904,off,no_extinction_control,0.0812806665558358,False,False,0.0001495157214536
All NG,2.1209508879201904,on,hard_extinction,0.0,True,False,0.0
All NG,2.1209508879201904,on,no_extinction_control,0.0534304797734126,False,False,1.1047706688532882e-09
All NG,2.329951810515372,off,hard_extinction,0.0455916673551657,False,False,0.0001672256603346
All NG,2.329951810515372,off,no_extinction_control,0.0979381791396125,False,False,0.0001672265827962
All NG,2.329951810515372,on,hard_extinction,0.0,True,False,0.0
