"pair_id","data_group","experiment_type","condition","metric","quantity","method","actual","prediction","actual_plot_raw","prediction_plot_raw","actual_plot","prediction_plot","display_adjusted"
20,"pair","Pairwise community","Ld_Mi","relative_abundance","Relative abundance","+ Cofactor competition",0.0190700422278888,0.156965966643649,0.0190700422278888,0.156965966643649,0.0190700422278888,0.156965966643649,FALSE
21,"pair","Pairwise community","Ld_Pc","relative_abundance","Relative abundance","+ Cofactor competition",1,1,1,1,1,1,FALSE
22,"pair","Pairwise community","Ld_Va","relative_abundance","Relative abundance","+ Cofactor competition",0.0092315452671558,0.437486481623268,0.0092315452671558,0.437486481623268,0.0092315452671558,0.437486481623268,FALSE
23,"larger","Larger community","Eu.c_Im_Ld","relative_abundance","Relative abundance","+ Cofactor competition",0,0.210087257139388,0.001,0.210087257139388,0.001,0.210087257139388,FALSE
24,"larger","Larger community","As_Cs_Eu.c_Ld_Mi","relative_abundance","Relative abundance","+ Cofactor competition",0.0005828185103158,0.149744755150646,0.001,0.149744755150646,0.00109544511501033,0.139749936766132,TRUE
25,"larger","Larger community","Af_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,4.63066639471407e-17,0.001,0.001,0.00101146026873054,0.00103819186552583,TRUE
26,"larger","Larger community","Ao_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,4.63066639471407e-17,0.001,0.001,0.00115967090803163,0.00107784234964399,TRUE
27,"larger","Larger community","As_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,4.63066639471407e-17,0.001,0.001,0.001,0.00109823190005603,TRUE
28,"larger","Larger community","Bl.s_dropout","relative_abundance","Relative abundance","+ Cofactor competition",3.33133453261377e-05,4.63066639471407e-17,0.001,0.001,0.00103477632463578,0.00101891700620111,TRUE
29,"larger","Larger community","Col_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,1.58370172100486e-16,0.001,0.001,0.00113354066995061,0.001,TRUE
30,"larger","Larger community","Cs_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,4.88191865622408e-13,0.001,0.001,0.00104663513939211,0.00116174413068609,TRUE
31,"larger","Larger community","Et_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,5.25420661593391e-17,0.001,0.001,0.00108303326277482,0.00120611330630067,TRUE
32,"larger","Larger community","Eu.c_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,4.65939555205548e-17,0.001,0.001,0.0012,0.00127586446402232,TRUE
33,"larger","Larger community","Eu.l_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,4.64765780262252e-17,0.001,0.001,0.00110799921040791,0.00118372085161038,TRUE
34,"larger","Larger community","Im_dropout","relative_abundance","Relative abundance","+ Cofactor competition",8.22104138173285e-05,1.22542007934344e-15,0.001,0.001,0.00114653135064524,0.00114017542509914,TRUE
35,"larger","Larger community","Lsp_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,4.63132263181847e-17,0.001,0.001,0.00102305187522046,0.00111900715971964,TRUE
36,"larger","Larger community","Mi_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,9.37275363210807e-16,0.001,0.001,0.00107076204202672,0.00105783134748392,TRUE
37,"larger","Larger community","Pc_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,4.63066639471407e-17,0.001,0.001,0.00105862985935237,0.0013,TRUE
38,"larger","Larger community","Va_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,0.11517361716589,0.001,0.11517361716589,0.00118640349710037,0.123410754247297,TRUE
39,"larger","Larger community","Vp_dropout","relative_abundance","Relative abundance","+ Cofactor competition",0,4.63066639471407e-17,0.001,0.001,0.00117296104827666,0.00125217702350381,TRUE
40,"larger","Larger community","Full_community","relative_abundance","Relative abundance","+ Cofactor competition",3.28316654847267e-05,4.63066639471407e-17,0.001,0.001,0.00112069717911242,0.0012289293591952,TRUE
